,,bilateral,inconclusive,left,right
-0.1,-1.0,5.06126137198e-07,5.00525716393e-06,7.73792659462e-09,0.999994480879
-0.09,-1.0,5.09943928402e-07,4.9988328587e-06,7.68165321742e-09,0.999994483542
-0.08,-1.0,5.13799300624e-07,4.9924368265e-06,7.62604890418e-09,0.999994486138
-0.07,-1.0,5.17692676737e-07,4.98606913161e-06,7.57110721566e-09,0.999994488667
-0.06,-1.0,5.21624486224e-07,4.97972983949e-06,7.51682181161e-09,0.999994491129
-0.05,-1.0,5.25595165273e-07,4.97341901673e-06,7.46318644938e-09,0.999994493523
-0.04,-1.0,5.2960515689e-07,4.96713673102e-06,7.41019498299e-09,0.999994495848
-0.03,-1.0,3.74743468864e-07,2.62582526536e-06,8.69451650648e-09,0.999996990737
-0.02,-1.0,3.77511597096e-07,2.62552013569e-06,8.63595923072e-09,0.999996988332
-0.01,-1.0,3.80307767422e-07,2.62522479068e-06,8.57807074018e-09,0.999996985889
-5.55111512313e-17,-1.0,3.83132293185e-07,2.624939297e-06,8.5208451435e-09,0.999996983408
0.01,-1.0,3.8598549251e-07,2.62466372169e-06,8.46427664283e-09,0.999996980887
0.02,-1.0,3.88867688374e-07,2.62439813214e-06,8.40835953283e-09,0.999996978326
0.03,-1.0,3.91779208671e-07,2.62414259605e-06,8.35308820169e-09,0.999996975725
0.04,-1.0,3.94720386283e-07,2.62389718139e-06,8.29845712563e-09,0.999996973084
0.05,-1.0,3.97691559144e-07,2.62366195638e-06,8.24446086993e-09,0.999996970402
0.06,-1.0,4.00693070319e-07,2.62343698942e-06,8.19109409005e-09,0.999996967679
0.07,-1.0,4.03725268063e-07,2.62322234911e-06,8.1383515292e-09,0.999996964914
0.08,-1.0,4.06788505904e-07,2.62301810416e-06,8.08622801763e-09,0.999996962107
0.09,-1.0,4.09883142704e-07,2.62282432336e-06,8.03471847185e-09,0.999996959258
0.1,-1.0,4.13009542742e-07,2.62264107556e-06,7.98381789379e-09,0.999996956366
0.11,-1.0,4.16168075779e-07,2.62246842961e-06,7.9335213699e-09,0.99999695343
0.12,-1.0,4.19359117138e-07,2.62230645432e-06,7.88382407046e-09,0.999996950451
0.13,-1.0,4.22583047775e-07,2.6221552184e-06,7.83472124891e-09,0.999996947427
0.14,-1.0,4.25840254356e-07,2.62201479045e-06,7.78620824067e-09,0.999996944359
0.15,-1.0,4.29131129332e-07,2.62188523885e-06,7.73828046287e-09,0.999996941245
0.16,-1.0,4.3245607102e-07,2.6217666318e-06,7.69093341361e-09,0.999996938086
0.17,-1.0,4.35815483674e-07,2.62165903717e-06,7.64416294545e-09,0.999996934881
0.18,-1.0,4.39209777563e-07,2.62156252253e-06,7.59796454034e-09,0.99999693163
0.19,-1.0,4.42639369053e-07,2.62147715502e-06,7.55233385042e-09,0.999996928331
0.2,-1.0,4.46104680685e-07,2.62140300138e-06,7.50726669039e-09,0.999996924985
0.21,-1.0,4.49606141254e-07,2.62134012781e-06,7.4627589524e-09,0.999996921591
0.22,-1.0,4.5314418589e-07,2.62128859997e-06,7.41880660649e-09,0.999996918148
0.23,-1.0,4.56719256131e-07,2.62124848289e-06,7.37540569728e-09,0.999996914657
0.24,-1.0,4.60331800012e-07,2.6212198409e-06,7.33255234549e-09,0.999996911116
0.25,-1.0,4.63982272143e-07,2.62120273761e-06,7.2902427473e-09,0.999996907525
0.26,-1.0,4.67671133787e-07,2.62119723578e-06,7.24847317255e-09,0.999996903883
0.27,-1.0,4.71398852945e-07,2.6212033973e-06,7.20723996554e-09,0.999996900191
0.28,-1.0,4.75165904439e-07,2.62122128312e-06,7.16653954481e-09,0.999996896446
0.29,-1.0,4.78972769988e-07,2.62125095315e-06,7.12636840182e-09,0.99999689265
0.3,-1.0,4.82819938295e-07,2.6212924662e-06,7.08672309783e-09,0.999996888801
0.31,-1.0,4.86707905129e-07,2.6213458799e-06,7.04760026777e-09,0.999996884899
0.32,-1.0,4.90637173403e-07,2.62141125065e-06,7.00899661801e-09,0.999996880943
0.33,-1.0,4.94608253259e-07,2.6214886335e-06,6.97090892585e-09,0.999996876932
0.34,-1.0,4.9862166215e-07,2.6215780821e-06,6.9333340391e-09,0.999996872867
0.35,-1.0,5.02677924921e-07,2.62167964859e-06,6.89626887596e-09,0.999996868746
0.36,-1.0,5.06777573891e-07,2.62179338355e-06,6.85971042394e-09,0.999996864569
0.37,-1.0,5.10921148933e-07,2.62191933587e-06,6.82365573982e-09,0.999996860336
0.38,-1.0,5.15109197559e-07,2.62205755269e-06,6.78810194947e-09,0.999996856045
0.39,-1.0,5.19342274994e-07,2.6222080793e-06,6.75304624699e-09,0.999996851697
0.4,-1.0,5.23620944265e-07,2.62237095906e-06,6.71848589602e-09,0.99999684729
0.41,-1.0,5.2794577627e-07,2.62254623326e-06,6.68441822552e-09,0.999996842824
0.42,-1.0,5.32317349869e-07,2.62273394107e-06,6.65084063363e-09,0.999996838298
0.43,-1.0,5.36736251952e-07,2.62293411942e-06,6.61775058498e-09,0.999996833712
0.44,-1.0,5.41203077523e-07,2.62314680289e-06,6.5851456114e-09,0.999996829065
0.45,-1.0,5.45718429771e-07,2.62337202363e-06,6.55302331048e-09,0.999996824357
0.46,-1.0,5.50282920153e-07,2.62360981122e-06,6.52138134658e-09,0.999996819586
0.47,-1.0,5.54897168464e-07,2.62386019256e-06,6.49021745017e-09,0.999996814752
0.48,-1.0,5.5956180291e-07,2.6241231918e-06,6.45952941746e-09,0.999996809855
0.49,-1.0,5.64277460186e-07,2.62439883019e-06,6.42931511264e-09,0.999996804894
0.5,-1.0,5.69044785539e-07,2.62468712597e-06,6.39957246479e-09,0.999996799869
0.51,-1.0,5.73864432843e-07,2.62498809425e-06,6.37029946177e-09,0.999996794777
0.52,-1.0,5.78737064664e-07,2.62530174689e-06,6.34149416191e-09,0.99999678962
0.53,-1.0,5.8366335233e-07,2.62562809237e-06,6.31315468674e-09,0.999996784395
0.54,-1.0,5.88643975989e-07,2.62596713568e-06,6.28527922163e-09,0.999996779104
0.55,-1.0,5.9367962468e-07,2.62631887817e-06,6.25786601757e-09,0.999996773744
0.56,-1.0,5.98770996384e-07,2.62668331744e-06,6.23091338926e-09,0.999996768315
0.57,-1.0,6.03918798089e-07,2.6270604472e-06,6.20441971582e-09,0.999996762816
0.58,-1.0,6.09123745844e-07,2.62745025711e-06,6.17838344216e-09,0.999996757248
0.59,-1.0,6.1438656481e-07,2.62785273268e-06,6.15280307616e-09,0.999996751608
0.6,-1.0,6.19707989314e-07,2.6282678551e-06,6.12767718641e-09,0.999996745896
0.61,-1.0,6.25088762896e-07,2.6286956011e-06,6.10300440768e-09,0.999996740113
0.62,-1.0,6.3052963835e-07,2.62913594283e-06,6.07878343849e-09,0.999996734256
0.63,-1.0,6.36031377773e-07,2.62958884768e-06,6.05501304103e-09,0.999996728325
0.64,-1.0,6.41594752597e-07,2.63005427815e-06,6.03169204131e-09,0.999996722319
0.65,-1.0,6.4722054363e-07,2.63053219169e-06,6.00881932887e-09,0.999996716238
0.66,-1.0,6.52909541081e-07,2.63102254054e-06,5.9863938574e-09,0.999996710082
0.67,-1.0,6.58662544593e-07,2.63152527159e-06,5.96441464359e-09,0.999996703848
0.68,-1.0,6.64480363264e-07,2.63204032621e-06,5.94288076784e-09,0.999996697536
0.69,-1.0,6.70363815668e-07,2.63256764008e-06,5.92179137474e-09,0.999996691147
0.7,-1.0,6.76313729869e-07,2.63310714304e-06,5.9011456719e-09,0.999996684678
0.71,-1.0,6.82330943434e-07,2.63365875893e-06,5.88094293133e-09,0.999996678129
0.72,-1.0,6.88416303435e-07,2.6342224054e-06,5.86118248898e-09,0.9999966715
0.73,-1.0,6.94570666455e-07,2.63479799378e-06,5.84186374484e-09,0.999996664789
0.74,-1.0,7.0079489858e-07,2.63538542885e-06,5.82298616306e-09,0.999996657997
0.75,-1.0,7.07089875391e-07,2.63598460873e-06,5.80454927207e-09,0.999996651121
0.76,-1.0,7.1345648195e-07,2.63659542467e-06,5.78655266476e-09,0.999996644162
0.77,-1.0,7.19895612775e-07,2.63721776088e-06,5.76899636605e-09,0.999996637118
0.78,-1.0,7.26408171817e-07,2.63785149435e-06,5.7518831217e-09,0.999996629988
0.79,-1.0,7.32995072428e-07,2.63849649469e-06,5.73520949073e-09,0.999996622773
0.8,-1.0,7.3965723732e-07,2.63915262393e-06,5.71897533237e-09,0.999996615471
0.81,-1.0,7.46395598514e-07,2.63981973636e-06,5.70318057149e-09,0.999996608081
0.82,-1.0,7.53211097293e-07,2.64049767832e-06,5.68782519891e-09,0.999996600603
